buffer_size,n_producer,n_consumer,wait_for_empty,wait_for_full,wait_mutex,total
8,8,1,1.7327e+06,28393,90878,254578
8,8,1,1.69863e+06,19566,106450,250653
8,8,1,1.55896e+06,19162,86268,232064
8,8,1,1.55894e+06,23445,101247,232097
8,8,1,1.62362e+06,34283,130497,243978
8,8,1,1.33252e+06,29503,130055,209474
8,8,1,1.62797e+06,35615,134545,244852
8,8,1,1.53876e+06,25582,132961,233753
8,8,1,1.562e+06,22190,131453,237071
8,8,1,1.61650e+06,28211,119309,242725
8,16,1,4.06454e+06,35166,150509,277058
8,16,1,5.14608e+06,28337,107546,342127
8,16,1,3.71981e+06,34199,144901,255801
8,16,1,3.63074e+06,31834,147570,249124
8,16,1,4.00984e+06,14690,92101,270295
8,16,1,3.51585e+06,34756,143269,241758
8,16,1,3.26471e+06,27336,124134,224748
8,16,1,3.83270e+06,38142,144198,261234
8,16,1,3.61258e+06,35551,125498,246859
8,16,1,3.90367e+06,27607,94515,263039
32,1,1,48569,105724,27822,243099
32,1,1,53114,106102,4862,248814
32,1,1,42058,98827,9707,212019
32,1,1,63654,97169,5853,237963
32,1,1,50013,100789,13206,226185
32,1,1,39591,98069,5960,223214
32,1,1,42123,99080,3000,222213
32,1,1,65924,141072,42158,307975
32,1,1,43209,108185,2030,221482
32,1,1,59801,109535,4701,243609
32,1,2,60051,190430,17021,247352
32,1,2,64724,217409,40271,272598
32,1,2,67183,209960,11618,260510
32,1,2,53750,211445,24376,259788
32,1,2,56549,259722,10466,266314
32,1,2,118278,235295,27278,319051
32,1,2,87850,224993,16750,286157
32,1,2,102878,202258,19686,298822
32,1,2,101992,237884,14320,310257
32,1,2,76386,187317,20194,271648
32,1,4,112365,516195,25079,324805
32,1,4,61850,287478,12919,239245
32,1,4,54710,599831,12634,269119
32,1,4,66294,357579,10513,256092
32,1,4,53010,410159,11124,240458
32,1,4,69180,401773,11425,264894
32,1,4,55004,462751,18626,248194
32,1,4,50797,479981,12377,253350
32,1,4,82651,383971,15805,275468
32,1,4,64495,376392,22061,252005
32,1,8,70289,1.32404e+06,12323,300222
32,1,8,66139,1.53152e+06,8411,314351
32,1,8,73072,710384,37230,267216
32,1,8,90838,545984,17674,280906
32,1,8,71883,375591,13294,250289
